DATE,BAMLC0A0CM
2022-05-09,1.44
2022-05-10,1.45
2022-05-11,1.45
2022-05-12,1.48
2022-05-13,1.47
2022-05-16,1.49
2022-05-17,1.49
2022-05-18,1.52
2022-05-19,1.54
2022-05-20,1.55
2022-05-23,1.53
2022-05-24,1.54
2022-05-25,1.49
2022-05-26,1.44
2022-05-27,1.41
2022-05-30,1.41
2022-05-31,1.40
2022-06-01,1.37
2022-06-02,1.38
2022-06-03,1.38
2022-06-06,1.37
2022-06-07,1.38
2022-06-08,1.37
2022-06-09,1.38
2022-06-10,1.41
2022-06-13,1.46
2022-06-14,1.46
2022-06-15,1.45
2022-06-16,1.49
2022-06-17,1.50
2022-06-20,1.50
2022-06-21,1.49
2022-06-22,1.54
2022-06-23,1.56
2022-06-24,1.55
2022-06-27,1.54
2022-06-28,1.56
2022-06-29,1.58
2022-06-30,1.64
2022-07-01,1.65
2022-07-04,1.65
2022-07-05,1.67
2022-07-06,1.65
2022-07-07,1.60
2022-07-08,1.57
2022-07-11,1.58
2022-07-12,1.59
2022-07-13,1.59
2022-07-14,1.60
2022-07-15,1.58
2022-07-18,1.55
2022-07-19,1.54
2022-07-20,1.52
2022-07-21,1.52
2022-07-22,1.52
2022-07-25,1.54
2022-07-26,1.56
2022-07-27,1.55
2022-07-28,1.54
2022-07-29,1.51
2022-07-31,1.53
2022-08-01,1.52
2022-08-02,1.51
2022-08-03,1.50
2022-08-04,1.50
2022-08-05,1.49
2022-08-08,1.49
2022-08-09,1.50
2022-08-10,1.47
2022-08-11,1.42
2022-08-12,1.41
2022-08-15,1.40
2022-08-16,1.39
2022-08-17,1.41
2022-08-18,1.41
2022-08-19,1.42
2022-08-22,1.44
2022-08-23,1.45
2022-08-24,1.43
2022-08-25,1.42
2022-08-26,1.42
2022-08-29,1.44
2022-08-30,1.45
2022-08-31,1.48
2022-09-01,1.50
2022-09-02,1.50
2022-09-05,1.51
2022-09-06,1.51
2022-09-07,1.51
2022-09-08,1.49
2022-09-09,1.47
2022-09-12,1.46
2022-09-13,1.46
2022-09-14,1.46
2022-09-15,1.45
2022-09-16,1.48
2022-09-19,1.47
2022-09-20,1.47
2022-09-21,1.47
2022-09-22,1.48
2022-09-23,1.51
2022-09-26,1.54
2022-09-27,1.58
2022-09-28,1.67
2022-09-29,1.68
2022-09-30,1.67
2022-10-03,1.65
2022-10-04,1.60
2022-10-05,1.61
2022-10-06,1.58
2022-10-07,1.60
2022-10-10,1.60
2022-10-11,1.67
2022-10-12,1.71
2022-10-13,1.71
2022-10-14,1.70
2022-10-17,1.70
2022-10-18,1.69
2022-10-19,1.70
2022-10-20,1.69
2022-10-21,1.71
2022-10-24,1.68
2022-10-25,1.69
2022-10-26,1.67
2022-10-27,1.68
2022-10-28,1.66
2022-10-31,1.66
2022-11-01,1.64
2022-11-02,1.62
2022-11-03,1.64
2022-11-04,1.61
2022-11-07,1.59
2022-11-08,1.60
2022-11-09,1.60
2022-11-10,1.58
2022-11-11,1.58
2022-11-14,1.52
2022-11-15,1.48
2022-11-16,1.48
2022-11-17,1.47
2022-11-18,1.45
2022-11-21,1.44
2022-11-22,1.43
2022-11-23,1.42
2022-11-24,1.42
2022-11-25,1.40
2022-11-28,1.40
2022-11-29,1.42
2022-11-30,1.42
2022-12-01,1.41
2022-12-02,1.40
2022-12-05,1.39
2022-12-06,1.39
2022-12-07,1.40
2022-12-08,1.38
2022-12-09,1.37
2022-12-12,1.37
2022-12-13,1.36
2022-12-14,1.37
2022-12-15,1.38
2022-12-16,1.39
2022-12-19,1.40
